attraction_city,attraction,attraction_map
Lucca,Tower,
Rome,Pantheon,"https://www.google.com/maps/place/Pantheon/@41.8986148,12.474298,17z/data=!3m1!4b1!4m6!3m5!1s0x132f604f678640a9:0xcad165fa2036ce2c!8m2!3d41.8986108!4d12.4768729!16zL20vMDF4emR6?entry=ttu&g_ep=EgoyMDI1MDgxMy4wIKXMDSoASAFQAw%3D%3D"
