latitude,longitude,elevation,distance,hike_city,gain,loss,pace_dist,pace_gain,FME,facilities
43.84092,10.55877,15.1,0.013,,0,-0.2,3,300,0:00,
43.84085,10.55891,14.9,0.013,,0,-0.2,3,300,0:00,
43.84039,10.55937,15,0.063,,0.1,0,3,300,0:01,
43.8403,10.55957,15.5,0.019,,0.5,0,3,300,0:00,
43.84033,10.55982,16,0.021,,0.5,0,3,300,0:00,
43.84047,10.56022,16.2,0.035,,0.2,0,3,300,0:00,
43.84069,10.56081,17,0.054,,0.8,0,3,300,0:01,
43.84095,10.56153,16,0.064,,0,-1,3,300,0:01,
43.84109,10.5621,16,0.049,,0,0,3,300,0:00,
43.84115,10.56258,16,0.039,,0,0,3,300,0:00,
43.8411,10.56354,16,0.077,,0,0,3,300,0:01,
43.84103,10.56411,16,0.047,,0,0,3,300,0:00,
43.84098,10.56427,16,0.014,,0,0,3,300,0:00,
43.84099,10.56438,16,0.009,,0,0,3,300,0:00,
43.84077,10.56486,16,0.046,,0,0,3,300,0:00,
43.84037,10.56592,16,0.096,,0,0,3,300,0:01,
43.84022,10.56662,16,0.058,,0,0,3,300,0:01,
43.84006,10.56746,16,0.07,,0,0,3,300,0:01,
43.83958,10.56833,15.5,0.088,,0,-0.5,3,300,0:01,
43.83932,10.56869,15,0.041,,0,-0.5,3,300,0:00,
43.83926,10.56938,15,0.056,,0,0,3,300,0:01,
43.83921,10.56992,15,0.044,,0,0,3,300,0:00,
43.8391,10.57038,15,0.039,,0,0,3,300,0:00,
43.83884,10.57104,15,0.06,,0,0,3,300,0:01,
43.83853,10.57171,15,0.064,,0,0,3,300,0:01,
43.83897,10.57192,15,0.052,,0,0,3,300,0:01,
43.83925,10.57217,15,0.037,,0,0,3,300,0:00,
43.83929,10.57227,15,0.009,,0,0,3,300,0:00,
43.8393,10.57242,15,0.012,,0,0,3,300,0:00,
43.83933,10.57268,15,0.021,,0,0,3,300,0:00,
43.83942,10.57279,15,0.014,,0,0,3,300,0:00,
43.83989,10.57285,15,0.052,,0,0,3,300,0:01,
43.84056,10.57298,15,0.075,,0,0,3,300,0:01,
43.84071,10.57306,15,0.018,Capannori,0,0,3,300,0:00,H RBG
43.84137,10.57322,15,0.075,,0,0,3,300,0:01,
43.84203,10.57338,15,0.074,,0,0,3,300,0:01,
43.84204,10.57451,15,0.091,,0,0,3,300,0:01,
43.84285,10.57464,15,0.091,,0,0,3,300,0:01,
43.84299,10.57454,15,0.017,,0,0,3,300,0:00,
43.84305,10.57432,15,0.019,,0,0,3,300,0:00,
43.84331,10.57435,15,0.029,,0,0,3,300,0:00,
43.84337,10.57349,15,0.069,,0,0,3,300,0:01,
43.84411,10.57343,15,0.083,,0,0,3,300,0:01,
43.84414,10.57378,15,0.028,,0,0,3,300,0:00,
43.84422,10.57392,15,0.015,,0,0,3,300,0:00,
43.84478,10.57409,15,0.063,,0,0,3,300,0:01,
43.8453,10.57435,15,0.062,,0,0,3,300,0:01,
43.84605,10.57457,15,0.085,,0,0,3,300,0:01,
43.84602,10.5754,15,0.067,,0,0,3,300,0:01,
43.84615,10.57629,15,0.073,,0,0,3,300,0:01,
43.84619,10.57664,15,0.028,,0,0,3,300,0:00,
43.84631,10.57763,15,0.081,,0,0,3,300,0:01,
43.84633,10.57788,15,0.02,,0,0,3,300,0:00,
43.84623,10.57851,15,0.052,,0,0,3,300,0:01,
43.84606,10.57925,14,0.062,,0,-1,3,300,0:01,
43.84576,10.58032,14,0.093,,0,0,3,300,0:01,
43.84622,10.5804,14,0.051,,0,0,3,300,0:01,
43.84668,10.58048,14,0.052,,0,0,3,300,0:01,
43.84714,10.58056,14,0.051,,0,0,3,300,0:01,
43.84769,10.58068,14,0.062,,0,0,3,300,0:01,
43.84823,10.58079,14,0.061,,0,0,3,300,0:01,
43.84834,10.58087,14,0.014,,0,0,3,300,0:00,
43.84835,10.58103,14,0.012,,0,0,3,300,0:00,
43.8483,10.58147,14,0.036,,0,0,3,300,0:00,
43.84819,10.58196,14,0.042,,0,0,3,300,0:00,
43.84816,10.5821,14,0.011,,0,0,3,300,0:00,
43.84864,10.58214,14,0.054,,0,0,3,300,0:01,
43.84911,10.58218,14,0.052,,0,0,3,300,0:01,
43.84959,10.58222,14,0.053,,0,0,3,300,0:01,
43.85024,10.58227,14,0.073,,0,0,3,300,0:01,
43.85089,10.58231,15,0.072,,1,0,3,300,0:01,
43.85095,10.58271,15,0.033,,0,0,3,300,0:00,
43.85112,10.58365,15,0.078,,0,0,3,300,0:01,
43.8513,10.5844,15,0.063,,0,0,3,300,0:01,
43.85135,10.58475,15,0.029,,0,0,3,300,0:00,
43.8513,10.58558,15,0.067,,0,0,3,300,0:01,
43.85127,10.58614,15,0.045,,0,0,3,300,0:00,
43.85114,10.58638,15,0.024,,0,0,3,300,0:00,
43.85093,10.58672,15,0.036,,0,0,3,300,0:00,
43.85052,10.58762,15,0.086,,0,0,3,300,0:01,
43.85037,10.58786,15,0.025,,0,0,3,300,0:00,
43.85004,10.5881,15,0.042,,0,0,3,300,0:00,
43.84987,10.58829,15,0.024,,0,0,3,300,0:00,
43.84976,10.58875,15,0.039,,0,0,3,300,0:00,
43.84968,10.58904,15,0.025,,0,0,3,300,0:00,
43.84951,10.58999,15.2,0.079,,0.2,0,3,300,0:01,
43.84946,10.59049,16,0.04,,0.8,0,3,300,0:00,
43.84931,10.59082,15.5,0.032,,0,-0.5,3,300,0:00,
43.84927,10.59156,15.4,0.059,,0,-0.1,3,300,0:01,
43.84922,10.59229,15,0.059,,0,-0.4,3,300,0:01,
43.84918,10.59317,14.5,0.071,,0,-0.5,3,300,0:01,
43.84962,10.59263,14.2,0.065,,0,-0.3,3,300,0:01,
43.84977,10.59271,14,0.018,,0,-0.2,3,300,0:00,
43.84984,10.59289,14,0.017,,0,0,3,300,0:00,
43.84984,10.59369,14,0.064,,0,0,3,300,0:01,
43.84983,10.5945,14,0.065,,0,0,3,300,0:01,
43.84983,10.5953,14,0.065,,0,0,3,300,0:01,
43.84982,10.59568,14,0.03,,0,0,3,300,0:00,
43.84982,10.59591,14,0.019,,0,0,3,300,0:00,
43.8498,10.59656,14.3,0.052,,0.3,0,3,300,0:01,
43.84977,10.5972,15,0.051,,0.7,0,3,300,0:01,
43.84975,10.59785,14.8,0.053,,0,-0.2,3,300,0:01,
43.84972,10.5985,14,0.052,,0,-0.8,3,300,0:01,
43.8497,10.59915,14,0.052,,0,0,3,300,0:01,
43.84967,10.59979,14,0.052,,0,0,3,300,0:01,
43.84965,10.60044,14,0.052,,0,0,3,300,0:01,
43.84939,10.60071,14,0.036,,0,0,3,300,0:00,
43.84936,10.60085,14,0.012,,0,0,3,300,0:00,
43.84941,10.60117,14,0.027,,0,0,3,300,0:00,
43.84941,10.6019,14,0.058,,0,0,3,300,0:01,
43.84941,10.60264,14,0.06,,0,0,3,300,0:01,
43.84942,10.60334,14,0.056,,0,0,3,300,0:01,
43.84943,10.60404,14,0.056,,0,0,3,300,0:01,
43.84944,10.60474,14,0.057,,0,0,3,300,0:01,
43.84947,10.60497,14,0.018,,0,0,3,300,0:00,
43.84946,10.6059,14,0.075,,0,0,3,300,0:01,
43.84944,10.60682,14,0.074,,0,0,3,300,0:01,
43.84945,10.60763,14,0.065,,0,0,3,300,0:01,
43.84945,10.60843,14,0.065,,0,0,3,300,0:01,
43.84948,10.609,14,0.046,,0,0,3,300,0:00,
43.84949,10.60976,14,0.061,,0,0,3,300,0:01,
43.8495,10.61051,14,0.06,,0,0,3,300,0:01,
43.84951,10.61127,14,0.061,,0,0,3,300,0:01,
43.84957,10.61195,14,0.055,,0,0,3,300,0:01,
43.84959,10.61277,14.5,0.066,,0.5,0,3,300,0:01,
43.84959,10.6132,14.5,0.035,,0,0,3,300,0:00,
43.84951,10.61327,14.2,0.01,,0,-0.3,3,300,0:00,
43.84898,10.6135,15,0.062,,0.8,0,3,300,0:01,
43.84845,10.61372,15.2,0.062,,0.2,0,3,300,0:01,
43.84792,10.61395,15.1,0.061,,0,-0.1,3,300,0:01,
43.84745,10.61414,15,0.055,,0,-0.1,3,300,0:01,
43.847,10.61422,15,0.05,,0,0,3,300,0:01,
43.84655,10.61431,15,0.051,,0,0,3,300,0:01,
43.8461,10.61439,15,0.05,,0,0,3,300,0:01,
43.84524,10.61457,14.4,0.097,,0,-0.6,3,300,0:01,
43.84481,10.6147,14,0.049,,0,-0.4,3,300,0:00,
43.84396,10.61501,14,0.097,,0,0,3,300,0:01,
43.84342,10.61522,14.5,0.063,,0.5,0,3,300,0:01,
43.84287,10.61543,15.5,0.063,,1,0,3,300,0:01,
43.84233,10.61564,15.5,0.062,Porcari,0,0,3,300,0:01,H RBG
43.84176,10.61583,14,0.065,,0,-1.5,3,300,0:01,
43.84178,10.6167,15,0.07,,1,0,3,300,0:01,
43.84179,10.61757,16.9,0.07,,1.9,0,3,300,0:01,
43.84164,10.61768,17.4,0.019,,0.5,0,3,300,0:00,
43.8408,10.61777,18.9,0.094,,1.5,0,3,300,0:02,
43.8404,10.61793,16.9,0.046,,0,-2,3,300,0:00,
43.83984,10.61827,14.4,0.068,,0,-2.5,3,300,0:01,
43.83954,10.61858,14.9,0.042,,0.5,0,3,300,0:00,
43.83918,10.61924,16.6,0.066,,1.7,0,3,300,0:01,
43.83894,10.61934,16.7,0.028,,0.1,0,3,300,0:00,
43.8383,10.61955,14.9,0.073,,0,-1.8,3,300,0:01,
43.83769,10.6197,13.6,0.069,,0,-1.3,3,300,0:01,
43.83739,10.61997,13,0.04,,0,-0.6,3,300,0:00,
43.8371,10.62047,13.4,0.051,,0.4,0,3,300,0:01,
43.8368,10.62097,14,0.053,,0.6,0,3,300,0:01,
43.83651,10.62147,14.3,0.051,,0.3,0,3,300,0:01,
43.83602,10.62226,16.1,0.084,,1.8,0,3,300,0:02,
43.83575,10.62287,16.2,0.057,,0.1,0,3,300,0:01,
43.83561,10.62334,17,0.041,,0.8,0,3,300,0:00,
43.83561,10.62411,17.2,0.062,,0.2,0,3,300,0:01,
43.83561,10.62487,14,0.061,,0,-3.2,3,300,0:01,
43.83561,10.62505,13.2,0.015,,0,-0.8,3,300,0:00,
43.83555,10.62548,13,0.035,,0,-0.2,3,300,0:00,
43.83526,10.62652,15,0.09,,2,0,3,300,0:02,
43.83509,10.62714,15.7,0.053,,0.7,0,3,300,0:01,
43.83491,10.62775,16.9,0.053,,1.2,0,3,300,0:01,
43.83459,10.62891,20,0.1,,3.1,0,3,300,0:02,
43.83443,10.62978,22.9,0.072,,2.9,0,3,300,0:02,
43.83434,10.63039,22.6,0.05,,0,-0.3,3,300,0:01,
43.83424,10.63101,22.3,0.051,,0,-0.3,3,300,0:01,
43.83415,10.63162,22.8,0.05,,0.5,0,3,300,0:01,
43.83402,10.63223,22.5,0.051,,0,-0.3,3,300,0:01,
43.83373,10.63288,22.4,0.062,,0,-0.1,3,300,0:01,
43.83344,10.63352,21.4,0.06,,0,-1,3,300,0:01,
43.83315,10.63417,19.7,0.062,,0,-1.7,3,300,0:01,
43.83274,10.63468,18.4,0.061,,0,-1.3,3,300,0:01,
43.83221,10.63521,18.2,0.073,,0,-0.2,3,300,0:01,
43.83177,10.63567,16,0.061,,0,-2.2,3,300,0:01,
43.83137,10.63632,13.2,0.069,,0,-2.8,3,300,0:01,
43.83129,10.63656,13,0.021,,0,-0.2,3,300,0:00,
43.83114,10.63685,13.7,0.029,,0.7,0,3,300,0:00,
43.83114,10.63686,13.8,0,,0.1,0,3,300,0:00,
43.83107,10.63692,13.9,0.01,,0.1,0,3,300,0:00,
43.83086,10.63727,14.3,0.036,,0.4,0,3,300,0:00,
43.83066,10.63758,15.3,0.034,,1,0,3,300,0:00,
43.83049,10.63799,15.9,0.038,,0.6,0,3,300,0:00,
43.83037,10.63837,17,0.033,,1.1,0,3,300,0:00,
43.83031,10.63843,17,0.008,,0,0,3,300,0:00,
43.8302,10.63846,16.7,0.013,,0,-0.3,3,300,0:00,
43.83004,10.63846,16.1,0.017,,0,-0.6,3,300,0:00,
43.82993,10.63854,15.9,0.014,,0,-0.2,3,300,0:00,
43.82986,10.63868,16.1,0.014,,0.2,0,3,300,0:00,
43.82971,10.63931,17,0.053,,0.9,0,3,300,0:01,
43.82963,10.63954,17,0.021,,0,0,3,300,0:00,
43.82942,10.63981,17,0.032,,0,0,3,300,0:00,
43.8293,10.63982,17,0.013,,0,0,3,300,0:00,
43.82927,10.64004,17.1,0.018,,0.1,0,3,300,0:00,
43.8292,10.64015,17.5,0.012,,0.4,0,3,300,0:00,
43.82901,10.64038,17.3,0.028,,0,-0.2,3,300,0:00,
43.82858,10.64076,17.1,0.057,,0,-0.2,3,300,0:01,
43.82824,10.64117,18.5,0.05,,1.4,0,3,300,0:01,
43.82772,10.6419,20.9,0.082,,2.4,0,3,300,0:02,
43.82748,10.64231,22,0.043,,1.1,0,3,300,0:01,
43.82725,10.64291,23.5,0.054,,1.5,0,3,300,0:01,
43.82723,10.64294,23.6,0.003,,0.1,0,3,300,0:00,
43.82709,10.64292,23.5,0.016,,0,-0.1,3,300,0:00,
43.82663,10.64288,23.9,0.051,,0.4,0,3,300,0:01,
43.82613,10.64285,22.3,0.056,,0,-1.6,3,300,0:01,
43.82564,10.64279,21,0.055,,0,-1.3,3,300,0:01,
